16:31:51:040:273 Monitoring new COM ports...
16:32:51:507:485 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:51:812:566 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:52:117:320 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:52:422:764 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:52:727:829 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:53:033:507 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:53:338:830 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:53:643:791 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:53:948:706 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:54:253:674 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:54:558:268 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:54:863:124 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:55:167:983 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:55:472:878 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:55:777:699 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:56:082:518 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:56:387:270 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:56:692:012 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:56:996:849 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:57:301:727 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:57:606:410 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:57:911:230 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:58:216:080 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:58:520:888 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:58:825:781 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:59:130:640 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:59:435:434 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:59:740:261 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:00:045:093 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:00:349:942 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:00:654:785 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:00:959:680 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:01:264:417 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:01:569:431 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:01:875:028 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:02:180:118 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:02:485:414 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:02:790:474 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:03:095:583 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:03:400:655 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:03:705:402 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:04:010:229 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:04:315:107 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:04:619:959 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:04:925:153 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:05:230:058 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:05:534:806 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:05:839:478 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:06:144:320 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:06:449:094 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:06:753:933 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:07:058:801 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:07:363:782 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:07:668:742 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:07:973:005 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:08:277:881 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:08:582:823 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:08:887:699 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:09:192:476 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:09:497:482 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:09:802:327 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:10:107:202 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:10:411:819 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:10:717:653 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:11:024:037 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:11:329:280 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:11:634:394 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:11:939:303 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:33:12:244:533 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
